rosbagTimestamp,voltages_count,voltages
1479505580195956058,1,[0.09803921729326248]
1479505580295478822,1,[0.09803921729326248]
1479505580395566195,1,[0.09803921729326248]
1479505580495624929,1,[0.09803921729326248]
1479505580595582547,1,[0.09803921729326248]
1479505580695620445,1,[0.09803921729326248]
1479505580795496450,1,[0.09803921729326248]
1479505580895596098,1,[0.09803921729326248]
1479505580995537060,1,[0.09803921729326248]
1479505581095542599,1,[0.09803921729326248]
1479505581195457108,1,[0.09803921729326248]
1479505581295461689,1,[0.09803921729326248]
1479505581395583546,1,[0.09803921729326248]
1479505581495389912,1,[0.09803921729326248]
1479505581595334959,1,[0.09803921729326248]
1479505581695526905,1,[0.09803921729326248]
1479505581795832221,1,[0.09803921729326248]
1479505581895367286,1,[0.0784313753247261]
1479505581995575876,1,[0.09803921729326248]
1479505582095533667,1,[0.09803921729326248]
1479505582195595370,1,[0.09803921729326248]
1479505582295331479,1,[0.09803921729326248]
1479505582395470734,1,[0.09803921729326248]
1479505582495330536,1,[0.09803921729326248]
1479505582595340490,1,[0.0784313753247261]
1479505582695322236,1,[0.09803921729326248]
1479505582795328975,1,[0.09803921729326248]
1479505582895256544,1,[0.09803921729326248]
1479505582995279911,1,[0.09803921729326248]
1479505583095415169,1,[0.09803921729326248]
1479505583195316124,1,[0.11764705926179886]
1479505583295363502,1,[0.0784313753247261]
1479505583395309311,1,[0.09803921729326248]
1479505583495277355,1,[0.09803921729326248]
1479505583595382325,1,[0.0784313753247261]
1479505583695262600,1,[0.09803921729326248]
1479505583795620557,1,[0.0784313753247261]
1479505583895404679,1,[0.09803921729326248]
1479505583995444850,1,[0.09803921729326248]
1479505584095274686,1,[0.0784313753247261]
1479505584195423984,1,[0.09803921729326248]
1479505584295292441,1,[0.09803921729326248]
1479505584395183613,1,[0.0784313753247261]
1479505584495210518,1,[0.09803921729326248]
1479505584595292128,1,[0.09803921729326248]
1479505584695228362,1,[0.0784313753247261]
1479505584795231074,1,[0.09803921729326248]
1479505584895152105,1,[0.11764705926179886]
1479505584995168935,1,[0.0784313753247261]
1479505585095111969,1,[0.09803921729326248]
1479505585195203495,1,[0.0784313753247261]
1479505585295088602,1,[0.09803921729326248]
1479505585395218159,1,[0.0784313753247261]
1479505585495119696,1,[0.09803921729326248]
1479505585595194797,1,[0.09803921729326248]
1479505585695058290,1,[0.09803921729326248]
1479505585795041450,1,[0.09803921729326248]
1479505585895078068,1,[0.0784313753247261]
1479505585995174426,1,[0.09803921729326248]
1479505586095006417,1,[0.09803921729326248]
1479505586195066068,1,[0.09803921729326248]
1479505586295230698,1,[0.09803921729326248]
1479505586395130177,1,[0.09803921729326248]
1479505586495123964,1,[0.09803921729326248]
1479505586595155435,1,[0.09803921729326248]
1479505586695146159,1,[0.09803921729326248]
1479505586795265739,1,[0.09803921729326248]
1479505586895023753,1,[0.0784313753247261]
1479505586995507854,1,[0.0784313753247261]
1479505587095062630,1,[0.09803921729326248]
1479505587195067946,1,[0.0784313753247261]
1479505587295140592,1,[0.09803921729326248]
1479505587395093486,1,[0.0784313753247261]
1479505587495076475,1,[0.09803921729326248]
1479505587595087106,1,[0.0784313753247261]
1479505587695053780,1,[0.0784313753247261]
1479505587795133961,1,[0.0784313753247261]
1479505587895027436,1,[0.09803921729326248]
1479505587995078546,1,[0.09803921729326248]
1479505588095127067,1,[0.09803921729326248]
1479505588194977819,1,[0.09803921729326248]
1479505588295067293,1,[0.09803921729326248]
1479505588394968399,1,[0.09803921729326248]
1479505588495081718,1,[0.09803921729326248]
1479505588595592959,1,[0.09803921729326248]
1479505588695131813,1,[0.13725490868091583]
1479505588794906281,1,[0.09803921729326248]
1479505588895085847,1,[0.0784313753247261]
1479505588995001132,1,[0.09803921729326248]
1479505589095273614,1,[0.09803921729326248]
1479505589195151691,1,[0.0784313753247261]
1479505589294917479,1,[0.09803921729326248]
1479505589394887102,1,[0.09803921729326248]
1479505589494918896,1,[0.0784313753247261]
1479505589595063686,1,[0.09803921729326248]
1479505589695036677,1,[0.0784313753247261]
1479505589794795562,1,[0.09803921729326248]
1479505589894892995,1,[0.09803921729326248]
1479505589999288341,1,[0.0784313753247261]
1479505590094923099,1,[0.09803921729326248]
1479505590195121322,1,[0.0784313753247261]
1479505590294880763,1,[0.09803921729326248]
1479505590394997290,1,[0.09803921729326248]
1479505590494937185,1,[0.0784313753247261]
1479505590594838054,1,[0.0784313753247261]
1479505590694857958,1,[0.09803921729326248]
1479505590794939019,1,[0.09803921729326248]
1479505590894837826,1,[0.0784313753247261]
1479505590994762728,1,[0.0784313753247261]
1479505591095168981,1,[0.09803921729326248]
1479505591194959094,1,[0.09803921729326248]
1479505591294774047,1,[0.09803921729326248]
1479505591394886498,1,[0.0784313753247261]
1479505591495059022,1,[0.09803921729326248]
1479505591594757610,1,[0.09803921729326248]
1479505591694857010,1,[0.09803921729326248]
1479505591794945370,1,[0.09803921729326248]
1479505591894998004,1,[0.09803921729326248]
1479505591994812174,1,[0.09803921729326248]
1479505592094716644,1,[0.09803921729326248]
1479505592194935342,1,[0.0784313753247261]
1479505592294744485,1,[0.11764705926179886]
1479505592394802731,1,[0.05882352963089943]
1479505592494999293,1,[0.09803921729326248]
1479505592595007816,1,[0.09803921729326248]
1479505592694758864,1,[0.09803921729326248]
1479505592795144082,1,[0.0784313753247261]
1479505592894815855,1,[0.09803921729326248]
1479505592994673911,1,[0.09803921729326248]
1479505593094801408,1,[0.09803921729326248]
1479505593194709287,1,[0.09803921729326248]
1479505593295025405,1,[0.09803921729326248]
1479505593394833553,1,[0.09803921729326248]
1479505593494716290,1,[0.09803921729326248]
1479505593594653855,1,[0.09803921729326248]
1479505593694770893,1,[0.09803921729326248]
1479505593794516697,1,[0.09803921729326248]
1479505593894615559,1,[0.09803921729326248]
1479505593994761483,1,[0.09803921729326248]
1479505594095082689,1,[0.11764705926179886]
1479505594194623460,1,[0.09803921729326248]
1479505594294556168,1,[0.09803921729326248]
1479505594394659475,1,[0.09803921729326248]
1479505594494811058,1,[0.09803921729326248]
1479505594594563227,1,[0.09803921729326248]
1479505594694635782,1,[0.09803921729326248]
1479505594794613236,1,[0.09803921729326248]
1479505594894686704,1,[0.09803921729326248]
1479505594994687514,1,[0.09803921729326248]
1479505595094730482,1,[0.09803921729326248]
1479505595194579859,1,[0.09803921729326248]
1479505595294586231,1,[0.09803921729326248]
1479505595394611372,1,[0.09803921729326248]
1479505595494432442,1,[0.09803921729326248]
1479505595594685460,1,[0.09803921729326248]
1479505595694553779,1,[0.09803921729326248]
1479505595794526059,1,[0.09803921729326248]
1479505595894598276,1,[0.09803921729326248]
1479505595994458650,1,[0.09803921729326248]
1479505596094952308,1,[0.0784313753247261]
1479505596194500120,1,[0.09803921729326248]
1479505596294579303,1,[0.09803921729326248]
1479505596394666977,1,[0.0784313753247261]
1479505596494614083,1,[0.09803921729326248]
1479505596594530848,1,[0.09803921729326248]
1479505596694462680,1,[0.09803921729326248]
1479505596794553939,1,[0.0784313753247261]
1479505596894510760,1,[0.09803921729326248]
1479505596994527232,1,[0.09803921729326248]
1479505597094433105,1,[0.09803921729326248]
1479505597194539544,1,[0.09803921729326248]
1479505597294445992,1,[0.09803921729326248]
1479505597394383943,1,[0.09803921729326248]
1479505597494452047,1,[0.09803921729326248]
1479505597594534857,1,[0.09803921729326248]
1479505597694293689,1,[0.09803921729326248]
1479505597794558975,1,[0.09803921729326248]
1479505597894295517,1,[0.09803921729326248]
1479505597994471938,1,[0.09803921729326248]
1479505598094319264,1,[0.09803921729326248]
1479505598194492945,1,[0.0784313753247261]
1479505598294374152,1,[0.09803921729326248]
1479505598394375694,1,[0.09803921729326248]
1479505598494340416,1,[0.09803921729326248]
1479505598594423443,1,[0.09803921729326248]
1479505598694317382,1,[0.09803921729326248]
1479505598794378140,1,[0.09803921729326248]
1479505598894301271,1,[0.09803921729326248]
1479505598994283363,1,[0.09803921729326248]
1479505599094286702,1,[0.09803921729326248]
1479505599194342416,1,[0.09803921729326248]
1479505599294373030,1,[0.09803921729326248]
1479505599394447546,1,[0.09803921729326248]
1479505599494419682,1,[0.09803921729326248]
1479505599594491880,1,[0.09803921729326248]
1479505599694430449,1,[0.11764705926179886]
1479505599794373100,1,[0.0784313753247261]
1479505599894170197,1,[0.09803921729326248]
1479505599994276814,1,[0.09803921729326248]
1479505600094482452,1,[0.09803921729326248]
1479505600194207339,1,[0.0784313753247261]
1479505600294225353,1,[0.09803921729326248]
1479505600394347531,1,[0.09803921729326248]
1479505600494338867,1,[0.09803921729326248]
1479505600594331368,1,[0.09803921729326248]
1479505600694195270,1,[0.09803921729326248]
1479505600794395029,1,[0.09803921729326248]
1479505600894302717,1,[0.09803921729326248]
1479505600994179368,1,[0.09803921729326248]
1479505601094273623,1,[0.09803921729326248]
1479505601194598632,1,[0.09803921729326248]
1479505601294362977,1,[0.09803921729326248]
1479505601394682626,1,[0.09803921729326248]
1479505601494208166,1,[0.09803921729326248]
1479505601594226865,1,[0.0784313753247261]
1479505601694120974,1,[0.09803921729326248]
1479505601794206332,1,[0.0784313753247261]
1479505601894184335,1,[0.09803921729326248]
1479505601994101692,1,[0.09803921729326248]
1479505602094284347,1,[0.09803921729326248]
1479505602194286150,1,[0.09803921729326248]
1479505602294083520,1,[0.09803921729326248]
1479505602394086799,1,[0.09803921729326248]
1479505602494078350,1,[0.09803921729326248]
1479505602594084415,1,[0.09803921729326248]
1479505602694126741,1,[0.09803921729326248]
1479505602794148329,1,[0.09803921729326248]
1479505602894035026,1,[0.09803921729326248]
1479505602994368762,1,[0.09803921729326248]
1479505603094273751,1,[0.09803921729326248]
1479505603194333761,1,[0.09803921729326248]
1479505603294135113,1,[0.09803921729326248]
1479505603394163194,1,[0.09803921729326248]
1479505603493998575,1,[0.09803921729326248]
1479505603594135058,1,[0.09803921729326248]
1479505603694095064,1,[0.09803921729326248]
1479505603794053253,1,[0.09803921729326248]
1479505603893993737,1,[0.09803921729326248]
1479505603994040268,1,[0.09803921729326248]
1479505604094046290,1,[0.09803921729326248]
1479505604194070204,1,[0.09803921729326248]
1479505604294336958,1,[0.09803921729326248]
1479505604394103089,1,[0.09803921729326248]
1479505604494115368,1,[0.09803921729326248]
1479505604594003152,1,[0.09803921729326248]
1479505604694141470,1,[0.09803921729326248]
1479505604793950663,1,[0.09803921729326248]
1479505604893978593,1,[0.09803921729326248]
1479505604994078768,1,[0.09803921729326248]
1479505605093996276,1,[0.09803921729326248]
1479505605193971567,1,[0.11764705926179886]
1479505605294002487,1,[0.05882352963089943]
1479505605393854609,1,[0.09803921729326248]
1479505605493881817,1,[0.0784313753247261]
1479505605593906911,1,[0.09803921729326248]
1479505605693819703,1,[0.09803921729326248]
1479505605794014596,1,[0.09803921729326248]
1479505605893906766,1,[0.09803921729326248]
1479505605993851068,1,[0.09803921729326248]
1479505606093981375,1,[0.09803921729326248]
1479505606194104292,1,[0.09803921729326248]
1479505606293873142,1,[0.09803921729326248]
1479505606393866606,1,[0.09803921729326248]
1479505606493854513,1,[0.09803921729326248]
1479505606593986436,1,[0.09803921729326248]
1479505606693958745,1,[0.09803921729326248]
1479505606793843794,1,[0.09803921729326248]
1479505606893927457,1,[0.09803921729326248]
1479505606993755003,1,[0.09803921729326248]
1479505607093857270,1,[0.11764705926179886]
1479505607193758803,1,[0.09803921729326248]
1479505607293784080,1,[0.0784313753247261]
1479505607393835823,1,[0.09803921729326248]
1479505607494034414,1,[0.0784313753247261]
1479505607593996340,1,[0.09803921729326248]
1479505607693762000,1,[0.09803921729326248]
1479505607793850307,1,[0.09803921729326248]
1479505607893841746,1,[0.09803921729326248]
1479505607993755187,1,[0.0784313753247261]
1479505608093919304,1,[0.09803921729326248]
1479505608193956360,1,[0.09803921729326248]
1479505608293904013,1,[0.09803921729326248]
1479505608393765176,1,[0.0784313753247261]
1479505608493652649,1,[0.09803921729326248]
1479505608593764633,1,[0.09803921729326248]
1479505608693849643,1,[0.09803921729326248]
1479505608793907710,1,[0.0784313753247261]
1479505608893716011,1,[0.11764705926179886]
1479505608993876969,1,[0.13725490868091583]
1479505609093859730,1,[0.0784313753247261]
1479505609193930428,1,[0.09803921729326248]
1479505609293706839,1,[0.09803921729326248]
1479505609394043416,1,[0.09803921729326248]
1479505609493807455,1,[0.09803921729326248]
1479505609593792602,1,[0.09803921729326248]
1479505609693823083,1,[0.09803921729326248]
1479505609793714684,1,[0.09803921729326248]
1479505609893711602,1,[0.09803921729326248]
1479505609993841358,1,[0.09803921729326248]
1479505610093698414,1,[0.09803921729326248]
1479505610193715927,1,[0.09803921729326248]
1479505610294118127,1,[0.09803921729326248]
1479505610393730738,1,[0.09803921729326248]
1479505610493695335,1,[0.09803921729326248]
1479505610593736095,1,[0.09803921729326248]
1479505610693731457,1,[0.09803921729326248]
1479505610793563030,1,[0.09803921729326248]
1479505610893622575,1,[0.09803921729326248]
1479505610993522457,1,[0.0784313753247261]
1479505611093698943,1,[0.09803921729326248]
1479505611193585352,1,[0.09803921729326248]
1479505611293637649,1,[0.09803921729326248]
1479505611393462267,1,[0.09803921729326248]
1479505611493572289,1,[0.09803921729326248]
1479505611593622897,1,[0.09803921729326248]
1479505611693762006,1,[0.09803921729326248]
1479505611793628615,1,[0.09803921729326248]
1479505611893493644,1,[0.09803921729326248]
1479505611993506928,1,[0.09803921729326248]
1479505612094083429,1,[0.09803921729326248]
1479505612193473643,1,[0.0784313753247261]
1479505612293518960,1,[0.09803921729326248]
1479505612393590915,1,[0.09803921729326248]
1479505612493475455,1,[0.09803921729326248]
1479505612593394160,1,[0.09803921729326248]
1479505612693369760,1,[0.09803921729326248]
1479505612793445082,1,[0.0784313753247261]
1479505612893457532,1,[0.09803921729326248]
1479505612993605404,1,[0.09803921729326248]
1479505613093624421,1,[0.09803921729326248]
1479505613193327998,1,[0.09803921729326248]
1479505613293403736,1,[0.09803921729326248]
1479505613393603824,1,[0.09803921729326248]
1479505613493492585,1,[0.0784313753247261]
1479505613593396444,1,[0.0784313753247261]
1479505613693311805,1,[0.09803921729326248]
1479505613793314770,1,[0.09803921729326248]
1479505613893393585,1,[0.09803921729326248]
1479505613993315441,1,[0.09803921729326248]
1479505614093559613,1,[0.09803921729326248]
1479505614193518208,1,[0.09803921729326248]
1479505614293445052,1,[0.09803921729326248]
1479505614393468813,1,[0.09803921729326248]
1479505614493483954,1,[0.0784313753247261]
1479505614593333342,1,[0.09803921729326248]
1479505614693418941,1,[0.0784313753247261]
1479505614793405701,1,[0.0784313753247261]
1479505614893380872,1,[0.09803921729326248]
1479505614993255601,1,[0.09803921729326248]
1479505615093360782,1,[0.09803921729326248]
1479505615193510872,1,[0.09803921729326248]
1479505615293390252,1,[0.0784313753247261]
1479505615393464707,1,[0.09803921729326248]
1479505615493754196,1,[0.09803921729326248]
1479505615593271578,1,[0.09803921729326248]
1479505615693407518,1,[0.09803921729326248]
1479505615793394037,1,[0.09803921729326248]
1479505615893309077,1,[0.09803921729326248]
1479505615993367127,1,[0.09803921729326248]
1479505616093263253,1,[0.09803921729326248]
1479505616193201436,1,[0.09803921729326248]
1479505616293711640,1,[0.11764705926179886]
1479505616393220918,1,[0.0784313753247261]
1479505616493246598,1,[0.0784313753247261]
1479505616593273153,1,[0.09803921729326248]
1479505616693191535,1,[0.09803921729326248]
1479505616793221914,1,[0.09803921729326248]
1479505616893276017,1,[0.0784313753247261]
1479505616993296152,1,[0.09803921729326248]
1479505617093149469,1,[0.09803921729326248]
1479505617193218853,1,[0.09803921729326248]
1479505617293395135,1,[0.09803921729326248]
1479505617393632121,1,[0.09803921729326248]
