rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,status,-,level,name,message,hardware_id,values,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,key,value,-,level,name,message,hardware_id,values,-,key,value,-,key,value,-,level,name,message,hardware_id,values,-,key,value
1479505562197099841,,239,,1479505562,196556249,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,57,Events since startup,2584,Duration of window (s),5.698972,Actual frequency (Hz),10.001804,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029241,Latest timestamp delay,0.029279,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.5
1479505563296976448,,240,,1479505563,296487527,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,57,Events since startup,2595,Duration of window (s),5.699642,Actual frequency (Hz),10.000628,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029188,Latest timestamp delay,0.029283,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.5
1479505564396657744,,241,,1479505564,396454255,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,57,Events since startup,2606,Duration of window (s),5.699652,Actual frequency (Hz),10.000610,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029230,Latest timestamp delay,0.029275,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.2
1479505565497085308,,242,,1479505565,496347756,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,57,Events since startup,2617,Duration of window (s),5.699592,Actual frequency (Hz),10.000716,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029227,Latest timestamp delay,0.029301,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.3
1479505566597086773,,243,,1479505566,596283384,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,57,Events since startup,2628,Duration of window (s),5.699634,Actual frequency (Hz),10.000642,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029251,Latest timestamp delay,0.029310,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.3
1479505567697071465,,244,,1479505567,696333574,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,55,Events since startup,2639,Duration of window (s),5.499753,Actual frequency (Hz),10.000449,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029246,Latest timestamp delay,0.029288,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.2
1479505568796505648,,245,,1479505568,796105898,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,55,Events since startup,2650,Duration of window (s),5.499618,Actual frequency (Hz),10.000694,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029248,Latest timestamp delay,0.029270,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.3
1479505569896410185,,246,,1479505569,896084867,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,55,Events since startup,2661,Duration of window (s),5.499660,Actual frequency (Hz),10.000619,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029228,Latest timestamp delay,0.029283,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.2
1479505570996355939,,247,,1479505570,996007192,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,55,Events since startup,2672,Duration of window (s),5.499657,Actual frequency (Hz),10.000624,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029223,Latest timestamp delay,0.029279,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.3
1479505571996461349,,248,,1479505571,996260833,'',,0,p2os,Desired frequency met; Timestamps are reasonable.,NewMexico_1775,,Events in window,54,Events since startup,2682,Duration of window (s),5.399966,Actual frequency (Hz),10.000064,Target frequency (Hz),10.000000,Minimum acceptable frequency (Hz),9.000000,Maximum acceptable frequency (Hz),11.000000,Earliest timestamp delay,0.029233,Latest timestamp delay,0.029299,Earliest acceptable timestamp delay,-1.000000,Latest acceptable timestamp delay,5.000000,Late diagnostic update count,0,Early diagnostic update count,0,Zero seen diagnostic update count,0,0,p2os,no wheel stall,NewMexico_1775,,left wheel stall,False,right wheel stall,False,0,p2os,battery voltage OK,NewMexico_1775,,voltage,12.3
