rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,ranges_count,ranges
1479505551098019666,,2472,,1479505551,67864152,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505551198152326,,2473,,1479505551,167989942,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505551297427095,,2474,,1479505551,267947336,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505551397383133,,2475,,1479505551,367908124,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505551497820321,,2476,,1479505551,467916523,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505551597479728,,2477,,1479505551,567770438,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505551697357356,,2478,,1479505551,667832836,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505551797453304,,2479,,1479505551,767820355,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505551897317650,,2480,,1479505551,867802536,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505551997349385,,2481,,1479505551,967771010,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505552097446637,,2482,,1479505552,67860252,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505552197471092,,2483,,1479505552,167808579,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505552297334868,,2484,,1479505552,267789795,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
1479505552397417121,,2485,,1479505552,367754558,'',16,"[2.303, 0.547, 4.91, 0.709, 2.333, 1.341, 4.91, 2.682, 4.91, 1.389, 2.149, 4.91, 1.924, 2.837, 1.437, 2.346]"
